Date,Open,High,Low,Close,WAP,No. of Shares,No. of Trades,Total Turnover,Deliverable Quantity,% Deli. Qty to Traded Qty,Spread H-L,Spread C-O
2021-04-30,370.5,376.85,361.5,364.3,369.55,716525.0,7009.0,264795116.0,101868.0,14.22,15.35,-6.2
2021-04-29,365.8,377.35,364.6,372.2,370.2,1102304.0,10314.0,408072091.0,180406.0,16.37,12.75,6.4
2021-04-28,369.9,369.9,358.0,362.5,361.07,635334.0,5846.0,229402631.0,228419.0,35.95,11.9,-7.4
2021-04-27,352.0,370.0,351.55,366.2,365.02,1084095.0,10537.0,395713363.0,96957.0,8.94,18.45,14.2
2021-04-26,351.8,358.2,345.75,348.3,354.32,784519.0,5980.0,277971186.0,394022.0,50.22,12.45,-3.5
2021-04-23,355.0,362.5,345.45,349.45,354.35,401370.0,3854.0,142226986.0,40380.0,10.06,17.05,-5.55
2021-04-22,359.35,365.65,353.15,355.75,360.41,519809.0,2680.0,187345486.0,28149.0,5.42,12.5,-3.6
2021-04-20,366.15,371.55,354.75,359.35,363.54,462722.0,4916.0,168218222.0,60852.0,13.15,16.8,-6.8
2021-04-19,360.0,366.0,353.75,361.45,360.43,507769.0,6076.0,183016669.0,100796.0,19.85,12.25,1.45
2021-04-16,355.0,376.45,353.0,370.15,370.49,1679139.0,16876.0,622108022.0,785405.0,46.77,23.45,15.15
2021-04-15,352.1,366.75,349.75,353.75,356.26,875636.0,9897.0,311955058.0,323839.0,36.98,17.0,1.65
2021-04-13,335.65,350.3,335.65,348.75,344.31,421477.0,4455.0,145119306.0,66335.0,15.74,14.65,13.1
2021-04-12,340.05,353.0,331.6,337.0,344.44,612462.0,7568.0,210959147.0,137940.0,22.52,21.4,-3.05
2021-04-09,367.9,370.2,354.8,361.05,361.72,760419.0,4777.0,275060462.0,289927.0,38.13,15.4,-6.85
2021-04-08,355.0,373.9,355.0,365.15,360.84,1567851.0,12281.0,565748455.0,748847.0,47.76,18.9,10.15
2021-04-07,350.0,360.5,349.45,352.25,355.29,403392.0,5381.0,143320787.0,125420.0,31.09,11.05,2.25
2021-04-06,353.0,358.3,348.5,350.5,353.22,321065.0,3097.0,113405380.0,59360.0,18.49,9.8,-2.5
2021-04-05,350.0,352.85,338.25,350.4,347.02,448589.0,3783.0,155668891.0,41653.0,9.29,14.6,0.4
2021-04-01,332.95,351.9,328.95,350.15,344.39,899426.0,7273.0,309756150.0,147793.0,16.43,22.95,17.2
2021-03-31,323.9,335.85,321.0,326.85,330.15,399699.0,3182.0,131959271.0,38436.0,9.62,14.85,2.95
2021-03-30,328.0,332.9,325.0,326.1,328.43,355696.0,3282.0,116822716.0,51317.0,14.43,7.9,-1.9
2021-03-26,317.0,328.35,317.0,327.15,324.4,342106.0,2713.0,110980242.0,50004.0,14.62,11.35,10.15
2021-03-25,318.5,319.8,305.4,313.4,312.48,510885.0,4060.0,159642065.0,77511.0,15.17,14.4,-5.1
2021-03-24,329.0,329.0,316.9,317.6,320.29,461397.0,3943.0,147780312.0,62753.0,13.6,12.1,-11.4
2021-03-23,342.0,342.55,330.3,331.55,335.87,270161.0,2745.0,90738540.0,39172.0,14.5,12.25,-10.45
2021-03-22,335.9,342.5,331.05,339.1,336.23,574273.0,3688.0,193088555.0,90552.0,15.77,11.45,3.2
2021-03-19,330.0,339.75,320.8,335.15,329.1,329792.0,2726.0,108534174.0,48974.0,14.85,18.95,5.15
2021-03-18,330.0,340.25,329.95,331.25,335.23,955829.0,7733.0,320418928.0,175149.0,18.32,10.3,1.25
2021-03-17,331.0,333.25,325.0,326.45,329.61,169410.0,1594.0,55838792.0,23125.0,13.65,8.25,-4.55
2021-03-16,336.0,336.8,326.25,333.65,331.1,337816.0,2094.0,111851766.0,35789.0,10.59,10.55,-2.35
2021-03-15,330.6,335.95,325.1,333.6,328.59,620223.0,4108.0,203797134.0,87727.0,14.14,10.85,3.0
2021-03-12,342.5,345.1,327.6,330.3,337.85,701941.0,3306.0,237153516.0,76064.0,10.84,17.5,-12.2
2021-03-10,335.0,342.15,330.5,340.0,336.29,339903.0,2809.0,114306376.0,49928.0,14.69,11.65,5.0
2021-03-09,338.35,344.2,328.45,333.15,337.05,420243.0,4260.0,141643166.0,72958.0,17.36,15.75,-5.2
2021-03-08,340.0,341.8,334.65,337.0,337.96,301585.0,2570.0,101923885.0,53109.0,17.61,7.15,-3.0
2021-03-05,344.1,347.4,333.05,336.7,340.43,651407.0,7372.0,221760304.0,129041.0,19.81,14.35,-7.4
2021-03-04,353.0,357.55,346.85,349.7,352.28,504788.0,6396.0,177828202.0,132618.0,26.27,10.7,-3.3
2021-03-03,348.0,361.2,348.0,359.35,356.95,872901.0,8728.0,311584003.0,226103.0,25.9,13.2,11.35
2021-03-02,346.85,349.05,339.0,345.25,343.12,498649.0,5161.0,171098687.0,114654.0,22.99,10.05,-1.6
2021-03-01,344.95,347.0,334.8,344.15,341.74,746149.0,7036.0,254986723.0,164809.0,22.09,12.2,-0.8
2021-02-26,341.15,349.55,334.8,340.3,342.24,980762.0,9186.0,335656034.0,162749.0,16.59,14.75,-0.85
2021-02-25,336.55,354.45,336.55,350.95,344.08,1950438.0,14863.0,671103300.0,660008.0,33.84,17.9,14.4
2021-02-24,334.1,339.6,325.55,333.3,329.13,4802787.0,39071.0,1580739842.0,2786663.0,58.02,14.05,-0.8
2021-02-23,321.25,338.1,316.65,333.25,328.77,1438181.0,10766.0,472827220.0,201163.0,13.99,21.45,12.0
2021-02-22,308.1,328.0,308.1,315.85,321.06,1738167.0,15490.0,558052114.0,340594.0,19.6,19.9,7.75
2021-02-19,309.7,313.3,302.2,308.25,307.39,514602.0,5343.0,158184383.0,132978.0,25.84,11.1,-1.45
2021-02-18,306.0,312.45,305.0,309.95,309.44,460916.0,3667.0,142626634.0,76871.0,16.68,7.45,3.95
2021-02-17,302.7,308.55,301.0,303.85,304.46,651277.0,4553.0,198289717.0,90702.0,13.93,7.55,1.15
2021-02-16,293.5,307.2,293.25,302.65,302.73,1279309.0,11066.0,387288366.0,256396.0,20.04,13.95,9.15
2021-02-15,292.0,297.3,289.1,291.6,292.61,283391.0,2233.0,82921642.0,59799.0,21.1,8.2,-0.4
2021-02-12,296.55,297.4,286.5,290.7,291.84,635628.0,5642.0,185500324.0,116176.0,18.28,10.9,-5.85
2021-02-11,279.35,297.3,279.35,295.5,290.19,1607377.0,11458.0,466450236.0,180550.0,11.23,17.95,16.15
2021-02-10,280.0,283.1,274.75,279.35,279.01,825902.0,5966.0,230433241.0,116940.0,14.16,8.35,-0.65
2021-02-09,279.0,285.85,275.8,278.3,281.28,854020.0,5409.0,240221991.0,114155.0,13.37,10.05,-0.7
2021-02-08,265.0,280.25,264.7,278.9,274.27,999160.0,8692.0,274040320.0,231483.0,23.17,15.55,13.9
2021-02-05,262.75,266.0,255.95,262.0,261.73,687686.0,5910.0,179991413.0,145547.0,21.16,10.05,-0.75
2021-02-04,260.9,267.4,259.05,261.9,263.94,735308.0,5541.0,194076764.0,98200.0,13.35,8.35,1.0
2021-02-03,255.5,263.3,253.65,257.15,258.41,775487.0,6783.0,200393495.0,255764.0,32.98,9.65,1.65
2021-02-02,243.9,257.4,243.9,255.5,252.54,848489.0,7864.0,214280209.0,295975.0,34.88,13.5,11.6
2021-02-01,227.0,243.95,226.8,241.35,234.95,449934.0,3914.0,105712615.0,77075.0,17.13,17.15,14.35
2021-01-29,230.0,234.1,225.0,226.05,230.3,1136952.0,7642.0,261842715.0,77873.0,6.85,9.1,-3.95
2021-01-28,221.0,231.95,221.0,229.2,228.53,303352.0,2582.0,69325669.0,43030.0,14.18,10.95,8.2
2021-01-27,242.0,242.0,229.8,231.35,234.31,313985.0,3303.0,73568434.0,47636.0,15.17,12.2,-10.65
2021-01-25,241.9,243.8,233.75,240.3,239.01,594754.0,4988.0,142151735.0,222392.0,37.39,10.05,-1.6
2021-01-22,245.5,249.9,235.85,239.2,241.02,435861.0,4848.0,105049362.0,74135.0,17.01,14.05,-6.3
2021-01-21,252.2,254.5,246.5,248.55,250.89,340736.0,3813.0,85487130.0,93940.0,27.57,8.0,-3.65
2021-01-20,252.45,253.5,248.5,252.2,251.08,359241.0,3520.0,90196731.0,80965.0,22.54,5.0,-0.25
2021-01-19,245.6,252.45,243.45,251.6,247.63,436579.0,3891.0,108109794.0,91758.0,21.02,9.0,6.0
2021-01-18,250.0,254.0,240.7,243.15,244.26,571429.0,8316.0,139577258.0,137362.0,24.04,13.3,-6.85
2021-01-15,262.0,263.45,251.15,253.4,255.99,586584.0,7348.0,150162118.0,144404.0,24.62,12.3,-8.6
2021-01-14,262.65,265.0,259.65,261.4,261.9,149148.0,1122.0,39062471.0,30822.0,20.67,5.35,-1.25
2021-01-13,266.0,268.4,258.8,262.55,263.58,523886.0,4071.0,138085654.0,82574.0,15.76,9.6,-3.45
2021-01-12,262.5,270.45,260.9,264.6,266.63,443724.0,2833.0,118308772.0,41748.0,9.41,9.55,2.1
2021-01-11,268.0,269.4,258.25,264.2,262.43,479710.0,3042.0,125889994.0,70928.0,14.79,11.15,-3.8
2021-01-08,274.0,274.35,265.3,268.15,268.66,1105593.0,4174.0,297023362.0,167186.0,15.12,9.05,-5.85
2021-01-07,261.0,275.5,261.0,272.75,270.75,1262105.0,9245.0,341719449.0,211039.0,16.72,14.5,11.75
2021-01-06,250.2,259.95,247.95,259.0,254.04,689783.0,3980.0,175233451.0,130712.0,18.95,12.0,8.8
