"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"HINDALCO","EQ","01-Jan-2016","         84.75","         84.70","         85.25","         84.00","         84.80","         84.90","         84.70","    2806421","           237716374.10","      10405","     344255","         12.27"
"HINDALCO","EQ","04-Jan-2016","         84.90","         84.20","         85.90","         80.40","         81.00","         80.75","         83.13","    8706224","           723761947.30","      32465","    1980981","         22.75"
"HINDALCO","EQ","05-Jan-2016","         80.75","         82.00","         83.95","         80.60","         82.60","         82.60","         82.30","    9819068","           808106471.25","      39784","    2270867","         23.13"
"HINDALCO","EQ","06-Jan-2016","         82.60","         82.40","         82.85","         79.70","         80.45","         80.55","         81.18","    6494446","           527205272.90","      29936","    2687763","         41.39"
"HINDALCO","EQ","07-Jan-2016","         80.55","         79.00","         79.40","         76.10","         76.55","         76.65","         77.52","    8098318","           627784098.10","      31693","    2616658","         32.31"
"HINDALCO","EQ","08-Jan-2016","         76.65","         77.45","         78.15","         75.20","         77.05","         76.90","         76.91","    6800939","           523088540.05","      24739","    1348915","         19.83"
"HINDALCO","EQ","11-Jan-2016","         76.90","         75.80","         78.65","         74.30","         77.70","         77.90","         76.34","    9706674","           741019490.80","      33741","    2135047","         22.00"
"HINDALCO","EQ","12-Jan-2016","         77.90","         78.40","         78.65","         75.00","         75.55","         75.60","         76.38","    6696133","           511473934.40","      23990","    2130502","         31.82"
"HINDALCO","EQ","13-Jan-2016","         75.60","         76.40","         77.50","         74.30","         76.75","         76.70","         76.11","    8275596","           629896254.65","      23712","    1793274","         21.67"
"HINDALCO","EQ","14-Jan-2016","         76.70","         75.00","         76.00","         73.40","         74.80","         74.70","         74.79","    7864816","           588177197.40","      27728","    2562340","         32.58"
"HINDALCO","EQ","15-Jan-2016","         74.70","         75.35","         75.40","         71.15","         71.25","         71.80","         73.57","    5206900","           383084213.20","      18525","    1603140","         30.79"
"HINDALCO","EQ","18-Jan-2016","         71.80","         71.05","         73.50","         70.05","         70.95","         71.20","         71.65","    6814262","           488240178.10","      28559","    1462390","         21.46"
"HINDALCO","EQ","19-Jan-2016","         71.20","         72.10","         73.90","         71.10","         71.85","         71.85","         72.44","    4396738","           318488285.85","      21605","     827083","         18.81"
"HINDALCO","EQ","20-Jan-2016","         71.85","         71.00","         71.05","         66.35","         67.65","         67.60","         68.31","    8312143","           567814773.55","      28979","    2919094","         35.12"
"HINDALCO","EQ","21-Jan-2016","         67.60","         69.00","         69.35","         66.80","         68.50","         68.30","         68.27","    5883512","           401658091.05","      21258","    1103758","         18.76"
"HINDALCO","EQ","22-Jan-2016","         68.30","         69.60","         72.90","         69.10","         71.90","         72.35","         71.45","    6988053","           499269419.70","      30803","    1924015","         27.53"
"HINDALCO","EQ","25-Jan-2016","         72.35","         72.90","         73.45","         71.80","         72.15","         72.00","         72.44","    3930042","           284694937.65","      21044","     886041","         22.55"
"HINDALCO","EQ","27-Jan-2016","         72.00","         72.50","         72.85","         70.80","         70.95","         71.05","         71.54","    5960177","           426397579.45","      24857","    2757768","         46.27"
"HINDALCO","EQ","28-Jan-2016","         71.05","         71.05","         71.40","         69.25","         69.85","         69.70","         70.25","   12038432","           845758793.55","      31248","    7176309","         59.61"
"HINDALCO","EQ","29-Jan-2016","         69.70","         70.00","         71.15","         68.75","         70.15","         70.50","         70.28","    9203028","           646743721.85","      37316","    3450320","         37.49"
"HINDALCO","EQ","01-Feb-2016","         70.50","         70.85","         71.55","         70.20","         71.20","         71.10","         71.04","    5582032","           396532104.25","      34933","    2153962","         38.59"
"HINDALCO","EQ","02-Feb-2016","         71.10","         71.75","         71.80","         68.20","         68.35","         68.55","         70.21","    6192773","           434809443.15","      26613","    1881793","         30.39"
"HINDALCO","EQ","03-Feb-2016","         68.55","         68.00","         68.00","         66.30","         66.70","         66.65","         67.15","    6780055","           455259136.05","      40539","    2399447","         35.39"
"HINDALCO","EQ","04-Feb-2016","         66.65","         67.80","         70.45","         67.20","         69.05","         68.70","         68.99","   12083591","           833652566.20","      46551","    4772638","         39.50"
"HINDALCO","EQ","05-Feb-2016","         68.70","         69.30","         72.20","         68.80","         71.10","         71.25","         70.84","   15932693","          1128700007.40","      59283","    5585364","         35.06"
"HINDALCO","EQ","08-Feb-2016","         71.25","         72.00","         72.00","         69.45","         69.60","         69.80","         70.73","   10400835","           735609237.00","      34361","    4234921","         40.72"
"HINDALCO","EQ","09-Feb-2016","         69.80","         68.50","         70.80","         67.60","         70.05","         70.00","         69.33","   16969989","          1176498622.25","      45535","    6001854","         35.37"
"HINDALCO","EQ","10-Feb-2016","         70.00","         70.20","         70.50","         65.00","         67.15","         66.90","         66.89","   16937036","          1132892426.30","      55045","    4287124","         25.31"
"HINDALCO","EQ","11-Feb-2016","         66.90","         67.50","         67.75","         62.95","         63.25","         63.70","         64.88","    7915911","           513551718.75","      28741","    2491553","         31.48"
"HINDALCO","EQ","12-Feb-2016","         63.70","         64.80","         64.85","         58.80","         60.85","         60.90","         60.84","   11171816","           679744172.50","      38296","    2193371","         19.63"
"HINDALCO","EQ","15-Feb-2016","         60.90","         62.45","         68.45","         62.30","         66.55","         67.00","         66.43","   17333390","          1151450289.00","      64940","    6499137","         37.49"
"HINDALCO","EQ","16-Feb-2016","         67.00","         68.50","         68.50","         64.55","         64.55","         64.85","         66.49","    9530757","           633656479.45","      31676","    1718263","         18.03"
"HINDALCO","EQ","17-Feb-2016","         64.85","         65.20","         66.30","         61.60","         66.15","         65.80","         64.07","   12113622","           776096077.15","      36382","    2970794","         24.52"
"HINDALCO","EQ","18-Feb-2016","         65.80","         67.65","         70.10","         67.20","         68.55","         68.90","         68.83","   14663310","          1009280437.60","      51933","    3684588","         25.13"
"HINDALCO","EQ","19-Feb-2016","         68.90","         68.30","         70.00","         67.45","         68.90","         69.05","         68.88","    6048480","           416617348.25","      23826","     974425","         16.11"
"HINDALCO","EQ","22-Feb-2016","         69.05","         69.15","         70.60","         68.80","         69.70","         69.50","         69.60","    5132711","           357229969.65","      16962","    1035114","         20.17"
"HINDALCO","EQ","23-Feb-2016","         69.50","         69.90","         71.85","         67.80","         68.30","         68.50","         69.85","   10366393","           724052604.85","      31890","    2156175","         20.80"
"HINDALCO","EQ","24-Feb-2016","         68.50","         67.60","         68.45","         66.00","         66.10","         66.40","         67.27","    6136935","           412836976.20","      21596","    1362210","         22.20"
"HINDALCO","EQ","25-Feb-2016","         66.40","         67.35","         68.00","         66.45","         67.60","         67.15","         67.31","    6197874","           417189159.05","      19230","    1904319","         30.73"
"HINDALCO","EQ","26-Feb-2016","         67.15","         68.20","         69.95","         66.20","         69.55","         69.45","         68.56","    9806363","           672352499.30","      31018","    2567803","         26.19"
"HINDALCO","EQ","29-Feb-2016","         69.45","         70.15","         70.80","         66.70","         68.25","         68.75","         69.29","   15550728","          1077546601.60","      39794","    4685617","         30.13"
"HINDALCO","EQ","01-Mar-2016","         68.75","         69.00","         70.50","         68.60","         70.40","         70.25","         69.71","    8273262","           576690955.80","      24740","    2468324","         29.83"
"HINDALCO","EQ","02-Mar-2016","         70.25","         71.90","         77.00","         71.30","         75.40","         74.95","         75.02","   21643529","          1623719678.25","      46546","   11157836","         51.55"
"HINDALCO","EQ","03-Mar-2016","         74.95","         76.50","         79.80","         75.50","         79.05","         79.25","         78.22","   22949555","          1795076485.45","      65563","    8529052","         37.16"
"HINDALCO","EQ","04-Mar-2016","         79.25","         79.85","         81.90","         77.60","         80.00","         79.40","         79.87","   15840406","          1265234209.90","      42226","    5520166","         34.85"
"HINDALCO","EQ","08-Mar-2016","         79.40","         80.30","         84.20","         80.05","         82.90","         83.15","         82.91","   19055239","          1579831188.95","      77370","    7524413","         39.49"
"HINDALCO","EQ","09-Mar-2016","         83.15","         80.40","         81.40","         79.05","         81.15","         81.10","         80.21","   11565488","           927643202.80","      43563","    3662673","         31.67"
"HINDALCO","EQ","10-Mar-2016","         81.10","         81.90","         85.55","         81.55","         83.50","         83.80","         84.10","   18838685","          1584387560.60","      64709","    5303685","         28.15"
"HINDALCO","EQ","11-Mar-2016","         83.80","         83.90","         84.75","         81.60","         83.55","         83.50","         83.48","   10301155","           859946294.80","      31434","    2010311","         19.52"
"HINDALCO","EQ","14-Mar-2016","         83.50","         84.50","         86.00","         84.20","         84.80","         84.90","         84.87","    6642436","           563715075.45","      24022","    2221361","         33.44"
"HINDALCO","EQ","15-Mar-2016","         84.90","         85.00","         86.00","         83.60","         83.75","         83.90","         84.68","   11700066","           990771655.85","      46339","    4154454","         35.51"
"HINDALCO","EQ","16-Mar-2016","         83.90","         84.00","         84.25","         79.35","         81.60","         81.50","         81.03","   13890592","          1125577638.10","      48528","    3964959","         28.54"
"HINDALCO","EQ","17-Mar-2016","         81.50","         82.50","         83.80","         80.70","         80.85","         81.00","         82.16","    8476015","           696351763.05","      45713","    2494384","         29.43"
